PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
305.000,6.9199,6.9220,3.443635,3.444045,0.9726,1.1242,0.0492,0.0875,98.87,302.307,1.149,33.9960,33.9985,1.7684,1.7331,1028.0360,1028.0376,1482.10,1482.11,0.0000e+00
306.000,6.9089,6.9110,3.442798,3.443160,0.9719,1.1218,0.0458,0.0937,98.87,303.297,1.322,33.9973,33.9991,1.7674,1.7233,1028.0431,1028.0442,1482.07,1482.08,0.0000e+00
307.000,6.9107,6.9105,3.442953,3.443236,0.9711,1.1196,0.0318,0.1026,98.87,304.288,1.372,33.9967,34.0000,1.7644,1.7198,1028.0469,1028.0496,1482.10,1482.10,0.0000e+00
308.000,6.9113,6.9116,3.443085,3.443361,0.9703,1.1187,0.0181,0.0957,98.51,305.278,1.201,33.9970,33.9998,1.7624,1.7200,1028.0517,1028.0538,1482.11,1482.12,0.0000e+00
309.000,6.9115,6.9118,3.443168,3.443459,0.9696,1.1179,0.0275,0.1007,59.96,306.269,0.681,33.9973,34.0002,1.7632,1.7228,1028.0564,1028.0587,1482.13,1482.14,0.0000e+00
310.000,6.9117,6.9121,3.443234,3.443541,0.9684,1.1164,0.0133,0.0670,100.78,307.259,0.687,33.9973,34.0003,1.7603,1.7185,1028.0610,1028.0633,1482.15,1482.15,0.0000e+00
311.000,6.9118,6.9123,3.443288,3.443607,0.9679,1.1152,0.0038,0.0887,98.87,308.250,1.380,33.9974,34.0004,1.7566,1.7153,1028.0656,1028.0679,1482.17,1482.17,0.0000e+00
312.000,6.9113,6.9118,3.443326,3.443637,0.9677,1.1151,0.0257,0.0998,98.88,309.240,1.670,33.9978,34.0007,1.7561,1.7162,1028.0705,1028.0727,1482.18,1482.19,0.0000e+00
313.000,6.9110,6.9116,3.443400,3.443694,0.9672,1.1146,0.0324,0.1020,98.87,310.230,1.719,33.9984,34.0010,1.7556,1.7154,1028.0757,1028.0776,1482.20,1482.20,0.0000e+00
314.000,6.9105,6.9110,3.443447,3.443767,0.9665,1.1147,0.0302,0.0954,98.88,311.221,1.503,33.9989,34.0020,1.7531,1.7166,1028.0807,1028.0830,1482.21,1482.22,0.0000e+00
315.000,6.9111,6.9114,3.443486,3.443798,0.9662,1.1138,0.0243,0.0876,98.78,312.211,0.809,33.9983,34.0014,1.7520,1.7125,1028.0847,1028.0871,1482.23,1482.24,0.0000e+00
316.000,6.9110,6.9109,3.443566,3.443857,0.9648,1.1145,0.0367,0.0708,98.88,313.202,1.177,33.9988,34.0021,1.7388,1.7031,1028.0896,1028.0922,1482.25,1482.25,0.0000e+00
317.000,6.9091,6.9093,3.443506,3.443830,0.9641,1.1094,0.0422,0.0697,98.87,314.192,1.806,33.9995,34.0029,1.7301,1.6824,1028.0950,1028.0976,1482.26,1482.26,0.0000e+00
318.000,6.9091,6.9095,3.443583,3.443918,0.9635,1.1069,0.0424,0.0797,98.87,315.182,2.054,33.9999,34.0031,1.7238,1.6720,1028.0999,1028.1024,1482.27,1482.28,0.0000e+00
319.000,6.9084,6.9080,3.443630,3.443882,0.9625,1.1052,0.0411,0.0954,98.87,316.173,2.125,34.0006,34.0038,1.7175,1.6661,1028.1051,1028.1077,1482.29,1482.29,0.0000e+00
320.000,6.9034,6.9037,3.443304,3.443593,0.9613,1.1037,0.0359,0.0948,98.88,317.163,2.038,34.0014,34.0044,1.7120,1.6645,1028.1110,1028.1133,1482.28,1482.29,0.0000e+00
321.000,6.9019,6.9006,3.443245,3.443393,0.9596,1.1016,0.0063,0.0948,98.87,318.153,1.663,34.0018,34.0047,1.7043,1.6637,1028.1161,1028.1186,1482.30,1482.30,0.0000e+00
322.000,6.8679,6.8620,3.440698,3.440360,0.9571,1.0980,0.0123,0.0941,98.40,319.144,0.808,34.0069,34.0090,1.6976,1.6572,1028.1296,1028.1321,1482.19,1482.17,0.0000e+00
323.000,6.8684,6.8590,3.440708,3.440126,0.9525,1.0907,0.0191,0.0870,98.88,320.134,1.344,34.0061,34.0090,1.6739,1.6321,1028.1334,1028.1370,1482.21,1482.17,0.0000e+00
324.000,6.8461,6.8477,3.438977,3.439282,0.9506,1.0935,0.0213,0.0903,98.87,321.125,1.734,34.0085,34.0103,1.6623,1.6375,1028.1431,1028.1442,1482.14,1482.14,0.0000e+00
325.000,6.8325,6.8345,3.437892,3.438314,0.9491,1.0870,0.0321,0.0955,98.88,322.115,1.833,34.0096,34.0122,1.6550,1.6174,1028.1504,1028.1522,1482.10,1482.11,0.0000e+00
326.000,6.8303,6.8317,3.437742,3.438070,0.9478,1.0841,0.0295,0.0969,98.87,323.105,1.655,34.0096,34.0118,1.6508,1.6079,1028.1553,1028.1568,1482.11,1482.12,0.0000e+00
327.000,6.8149,6.8160,3.436519,3.436699,0.9453,1.0815,0.0316,0.1012,98.87,324.096,1.119,34.0109,34.0118,1.6443,1.6018,1028.1631,1028.1636,1482.07,1482.07,0.0000e+00
328.000,6.7880,6.7873,3.434254,3.434413,0.9411,1.0765,0.0342,0.0962,75.29,325.086,0.507,34.0120,34.0145,1.6370,1.5991,1028.1723,1028.1744,1481.98,1481.98,0.0000e+00
