PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
135.000,7.5815,7.5818,3.493407,3.493755,0.2189,1.1080,98.88,133.906,1.924,33.9707,33.9742,2.1735,1027.1440,1027.1467,1481.82,1481.83,0.0000e+00
136.000,7.5812,7.5815,3.493476,3.493804,0.2180,1.1098,98.88,134.898,1.444,33.9712,33.9745,2.1897,1027.1490,1027.1516,1481.84,1481.84,0.0000e+00
137.000,7.5814,7.5818,3.493599,3.493906,0.1965,1.1062,67.10,135.889,0.623,33.9719,33.9749,2.1779,1027.1541,1027.1564,1481.86,1481.86,0.0000e+00
138.000,7.5831,7.5835,3.494081,3.494444,0.1996,1.0986,101.18,136.881,0.828,33.9750,33.9785,2.1457,1027.1609,1027.1636,1481.88,1481.89,0.0000e+00
139.000,7.5834,7.5837,3.494287,3.494626,0.2165,1.0983,98.88,137.872,1.191,33.9764,33.9798,2.1524,1027.1665,1027.1691,1481.90,1481.91,0.0000e+00
140.000,7.5834,7.5837,3.494487,3.494810,0.2044,1.0971,98.88,138.864,1.315,33.9781,33.9814,2.1522,1027.1724,1027.1749,1481.92,1481.93,0.0000e+00
141.000,7.5822,7.5825,3.494522,3.494861,0.1969,1.0957,98.88,139.855,1.296,33.9792,33.9826,2.1363,1027.1780,1027.1806,1481.93,1481.94,0.0000e+00
142.000,7.5811,7.5813,3.494603,3.494936,0.2067,1.0935,98.88,140.847,1.148,33.9807,33.9840,2.1133,1027.1839,1027.1865,1481.95,1481.95,0.0000e+00
143.000,7.5782,7.5782,3.494575,3.494897,0.2288,1.0896,92.65,141.838,0.939,33.9827,33.9862,2.0845,1027.1905,1027.1932,1481.96,1481.96,0.0000e+00
144.000,7.5593,7.5596,3.493756,3.494078,0.1951,1.0834,98.74,142.830,0.740,33.9918,33.9950,2.0489,1027.2050,1027.2075,1481.91,1481.92,0.0000e+00
145.000,7.5508,7.5506,3.493276,3.493569,0.1877,1.0744,98.88,143.821,0.516,33.9945,33.9978,2.0319,1027.2128,1027.2155,1481.90,1481.90,0.0000e+00
146.000,7.5452,7.5448,3.492898,3.493166,0.1858,1.0691,98.88,144.813,0.682,33.9953,33.9986,2.0450,1027.2189,1027.2216,1481.90,1481.90,0.0000e+00
147.000,7.5418,7.5424,3.492679,3.493046,0.1812,1.0674,98.88,145.804,1.100,33.9958,33.9993,2.0413,1027.2244,1027.2270,1481.90,1481.91,0.0000e+00
148.000,7.5336,7.5341,3.492010,3.492342,0.1757,1.0659,90.63,146.796,1.329,33.9962,33.9993,2.0378,1027.2304,1027.2328,1481.89,1481.89,0.0000e+00
149.000,7.5272,7.5268,3.491476,3.491712,0.2042,1.0649,65.29,147.787,1.342,33.9961,33.9991,2.0335,1027.2359,1027.2382,1481.88,1481.88,0.0000e+00
150.000,7.5209,7.5212,3.490903,3.491227,0.1961,1.0643,62.48,148.779,1.023,33.9956,33.9988,2.0314,1027.2410,1027.2435,1481.87,1481.87,0.0000e+00
151.000,7.5137,7.5164,3.490182,3.490754,0.2017,1.0619,99.43,149.770,0.520,33.9944,33.9979,2.0374,1027.2456,1027.2480,1481.86,1481.87,0.0000e+00
152.000,7.5008,7.5010,3.489015,3.489330,0.1845,1.0612,98.84,150.762,1.053,33.9939,33.9971,2.0386,1027.2517,1027.2542,1481.82,1481.83,0.0000e+00
153.000,7.4945,7.4946,3.488472,3.488780,0.1804,1.0605,92.67,151.753,1.356,33.9937,33.9969,2.0253,1027.2570,1027.2595,1481.82,1481.82,0.0000e+00
154.000,7.4803,7.4802,3.487238,3.487512,0.1821,1.0603,61.86,152.745,1.472,33.9938,33.9968,2.0357,1027.2637,1027.2661,1481.78,1481.78,0.0000e+00
155.000,7.4763,7.4770,3.486890,3.487272,0.1926,1.0571,51.47,153.736,1.446,33.9935,33.9968,2.0353,1027.2686,1027.2712,1481.78,1481.79,0.0000e+00
156.000,7.4623,7.4572,3.485522,3.485284,0.1932,1.0604,96.66,154.728,1.246,33.9918,33.9942,2.0578,1027.2739,1027.2766,1481.74,1481.72,0.0000e+00
157.000,7.4235,7.4215,3.481728,3.481827,0.2065,1.0620,98.80,155.719,0.740,33.9882,33.9912,2.0689,1027.2812,1027.2840,1481.60,1481.60,0.0000e+00
158.000,7.4139,7.4169,3.480852,3.481419,0.1723,1.0638,98.88,156.711,0.566,33.9876,33.9908,2.0656,1027.2868,1027.2888,1481.58,1481.60,0.0000e+00
159.000,7.4050,7.4077,3.480037,3.480575,0.2049,1.0640,98.88,157.702,1.162,33.9870,33.9902,2.0661,1027.2922,1027.2943,1481.56,1481.58,0.0000e+00
160.000,7.4003,7.4004,3.479615,3.479911,0.1972,1.0642,98.88,158.694,1.456,33.9865,33.9897,2.0674,1027.2971,1027.2995,1481.56,1481.56,0.0000e+00
161.000,7.3950,7.3940,3.479154,3.479343,0.1944,1.0645,98.89,159.685,1.544,33.9863,33.9893,2.0689,1027.3022,1027.3047,1481.55,1481.55,0.0000e+00
162.000,7.3875,7.3883,3.478496,3.478858,0.1929,1.0655,98.89,160.677,1.454,33.9860,33.9891,2.0730,1027.3076,1027.3100,1481.54,1481.55,0.0000e+00
163.000,7.3836,7.3837,3.478200,3.478493,0.2061,1.0647,98.88,161.668,1.167,33.9861,33.9892,2.0695,1027.3129,1027.3153,1481.54,1481.55,0.0000e+00
164.000,7.3810,7.3811,3.478007,3.478317,0.1967,1.0652,98.88,162.660,0.604,33.9861,33.9894,2.0698,1027.3178,1027.3204,1481.55,1481.56,0.0000e+00
165.000,7.3806,7.3810,3.478066,3.478381,0.1876,1.0631,98.88,163.651,0.516,33.9866,33.9897,2.0535,1027.3228,1027.3252,1481.57,1481.57,0.0000e+00
166.000,7.3804,7.3806,3.478137,3.478456,0.1937,1.0638,98.89,164.642,1.077,33.9870,33.9904,2.0600,1027.3278,1027.3304,1481.58,1481.59,0.0000e+00
