PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
85.000,8.2186,8.2168,3.553773,3.553921,0.2677,1.0906,26.25,84.338,0.613,34.0223,34.0256,2.0608,1026.8613,1026.8641,1483.48,1483.48,0.0000e+00
86.000,8.2125,8.2126,3.553360,3.553644,0.3015,1.0861,25.21,85.330,0.413,34.0234,34.0263,2.0575,1026.8676,1026.8699,1483.48,1483.48,0.0000e+00
87.000,8.2073,8.2073,3.553016,3.553291,0.3014,1.0818,24.12,86.322,0.530,34.0243,34.0272,2.0494,1026.8736,1026.8760,1483.48,1483.48,0.0000e+00
88.000,8.2048,8.2050,3.552896,3.553184,0.3328,1.0796,23.39,87.314,0.769,34.0250,34.0278,2.0428,1026.8791,1026.8813,1483.48,1483.49,0.0000e+00
89.000,8.2019,8.2006,3.552710,3.552908,0.3397,1.0782,22.29,88.306,0.489,34.0254,34.0287,2.0411,1026.8844,1026.8872,1483.49,1483.49,0.0000e+00
90.000,8.1965,8.1963,3.552376,3.552636,0.3138,1.0743,21.08,89.298,0.487,34.0265,34.0294,2.0178,1026.8907,1026.8930,1483.49,1483.49,0.0000e+00
91.000,8.1901,8.1912,3.551965,3.552323,0.3382,1.0708,20.32,90.290,0.677,34.0279,34.0306,1.9937,1026.8973,1026.8992,1483.48,1483.49,0.0000e+00
92.000,8.1720,8.1719,3.550645,3.550877,0.4770,1.0655,19.28,91.282,0.466,34.0308,34.0334,1.9762,1026.9069,1026.9090,1483.43,1483.44,0.0000e+00
93.000,8.1610,8.1644,3.549862,3.550395,0.5775,1.0595,18.11,92.274,0.419,34.0327,34.0351,1.9667,1026.9146,1026.9160,1483.41,1483.43,0.0000e+00
94.000,8.1590,8.1588,3.549776,3.550022,0.6063,1.0567,17.34,93.266,0.780,34.0332,34.0361,1.9598,1026.9199,1026.9221,1483.42,1483.42,0.0000e+00
95.000,8.1543,8.1540,3.549449,3.549687,0.6615,1.0552,16.46,94.258,0.810,34.0339,34.0367,1.9576,1026.9257,1026.9279,1483.42,1483.42,0.0000e+00
96.000,8.1506,8.1504,3.549202,3.549444,0.7259,1.0532,15.27,95.250,0.446,34.0343,34.0371,1.9543,1026.9312,1026.9334,1483.42,1483.42,0.0000e+00
97.000,8.1531,8.1532,3.549451,3.549730,0.6511,1.0511,14.12,96.242,0.571,34.0341,34.0369,1.9515,1026.9352,1026.9374,1483.45,1483.45,0.0000e+00
98.000,8.1485,8.1483,3.549126,3.549370,0.7783,1.0502,12.95,97.234,0.552,34.0346,34.0374,1.9491,1026.9408,1026.9430,1483.45,1483.45,0.0000e+00
99.000,8.1463,8.1464,3.548985,3.549266,0.7875,1.0493,12.02,98.226,0.478,34.0347,34.0376,1.9511,1026.9458,1026.9481,1483.46,1483.46,0.0000e+00
100.000,8.1467,8.1467,3.549071,3.549333,0.8183,1.0493,11.04,99.218,0.592,34.0348,34.0377,1.9527,1026.9503,1026.9526,1483.47,1483.48,0.0000e+00
101.000,8.1489,8.1490,3.549300,3.549574,0.7308,1.0488,10.06,100.210,0.214,34.0347,34.0375,1.9509,1026.9545,1026.9567,1483.50,1483.50,0.0000e+00
